Id;URI;Thesaurus;Instrument Family;Instrument Group;Instrument;Synonyms;URI Wikipedia;Remarks
LEXICON_00002443;http://www.mimo-db.eu/InstrumentsKeywords/2443;;;;Walet-hkok;;;
LEXICON_00002444;http://www.mimo-db.eu/InstrumentsKeywords/2444;;;;Whip;;http://en.wikipedia.org/wiki/Whip_(instrument);
LEXICON_00002445;http://www.mimo-db.eu/InstrumentsKeywords/2445;;;;Yotsudake;Yotsu-dake;;
LEXICON_00002447;http://www.mimo-db.eu/InstrumentsKeywords/2447;;;;Zhong;"Bo;Chung;Chuong;Tchong;Té-tchong";;
LEXICON_00004581;http://www.mimo-db.eu/InstrumentsKeywords/4581;;;;Matraca;;http://en.wikipedia.org/wiki/Matraca;
LEXICON_00004661;http://www.mimo-db.eu/InstrumentsKeywords/4661;;;;Capra;;;
LEXICON_00004662;http://www.mimo-db.eu/InstrumentsKeywords/4662;;;;Hanske knap;;;
LEXICON_00004663;http://www.mimo-db.eu/InstrumentsKeywords/4663;;;;Knaptand;;;
LEXICON_00004665;http://www.mimo-db.eu/InstrumentsKeywords/4665;;;;Troccola;;;
LEXICON_00004819;http://www.mimo-db.eu/InstrumentsKeywords/4819;;;;Hammer clapper;Charfreitags Holzklapper;;
LEXICON_00004821;http://www.mimo-db.eu/InstrumentsKeywords/4821;;;;Matraqueta;;;
LEXICON_00004851;http://www.mimo-db.eu/InstrumentsKeywords/4851;;;;Cimta;;;
LEXICON_00004885;http://www.mimo-db.eu/InstrumentsKeywords/4885;;;;Phal;;;
LEXICON_00004923;http://www.mimo-db.eu/InstrumentsKeywords/4923;;;;Chlefeli;;;
LEXICON_00004951;http://www.mimo-db.eu/InstrumentsKeywords/4951;;;;Phach;;http://en.wikipedia.org/wiki/Ph%C3%A1ch;
LEXICON_00005225;http://www.mimo-db.eu/InstrumentsKeywords/5225;;;;Grap saypha;;;
LEXICON_00005317;http://www.mimo-db.eu/InstrumentsKeywords/5317;;;;Palipal;;;
LEXICON_00005342;http://www.mimo-db.eu/InstrumentsKeywords/5342;;;;Sanqioban;;;
LEXICON_00005386;http://www.mimo-db.eu/InstrumentsKeywords/5386;;;;Va let kyot;;;
LEXICON_00005513;http://www.mimo-db.eu/InstrumentsKeywords/5513;;;;Kemanak;;http://en.wikipedia.org/wiki/Kemanak;A vérifier
LEXICON_00006267;http://www.mimo-db.eu/InstrumentsKeywords/6267;;;;Batte d'arlequin;;;
LEXICON_00006322;http://www.mimo-db.eu/InstrumentsKeywords/6322;;;;Sanh;"Cai chac;Cai hac";;
LEXICON_00006636;http://www.mimo-db.eu/InstrumentsKeywords/6636;;;;Cai ban nhac;;;
LEXICON_00006786;http://www.mimo-db.eu/InstrumentsKeywords/6786;;;;Kasik ;;;
LEXICON_00006787;http://www.mimo-db.eu/InstrumentsKeywords/6787;;;;Spoons;;http://en.wikipedia.org/wiki/Spoons_(musical_instrument);
LEXICON_00002451;http://www.mimo-db.eu/InstrumentsKeywords/2451;;;Cymbals;;;http://en.wikipedia.org/wiki/Cymbals;
LEXICON_00002452;http://www.mimo-db.eu/InstrumentsKeywords/2452;;;;Bo;Seaou-po;http://en.wikipedia.org/wiki/Bo_(instrument);
LEXICON_00002454;http://www.mimo-db.eu/InstrumentsKeywords/2454;;;;Chabara;"Chegum;Hyangbal;Pal;Tongbal;Yobal";;
LEXICON_00002460;http://www.mimo-db.eu/InstrumentsKeywords/2460;;;;Chap;Charp;http://en.wikipedia.org/wiki/Chap_(instrument);
LEXICON_00002462;http://www.mimo-db.eu/InstrumentsKeywords/2462;;;;Ching;"Kum;Kumna;Na;Taegum";http://en.wikipedia.org/wiki/Ching_(instrument);
LEXICON_00002467;http://www.mimo-db.eu/InstrumentsKeywords/2467;;;;Choke cymbal;;http://en.wikipedia.org/wiki/Choke_cymbal;
LEXICON_00002468;http://www.mimo-db.eu/InstrumentsKeywords/2468;;;;Chum choe;;;
